gid2019;pop_22;native_22;foreigners_22
5;18139116;15310749;2828367
51;5261157;4309630;951527
5111;629047;488593;140454
5112;502211;382884;119327
5113;584580;475094;109486
5114;228426;183887;44539
5116;268465;212338;56127
5117;172404;140972;31432
5119;210824;172892;37932
5120;112613;89478;23135
5122;160643;130952;29691
5124;358876;276466;82410
5154;319290;262980;56310
5154004;13341;11713;1628
5154008;31544;22015;9529
5154012;34298;29527;4771
5154016;35270;29215;6055
5154020;12364;11440;924
5154024;14191;12623;1568
5154028;12750;11843;907
5154032;28232;24344;3888
5154036;53388;39966;13422
5154040;11181;7178;4003
5154044;21475;19611;1864
5154048;6566;6161;405
5154052;16365;13668;2697
5154056;8513;7529;984
5154060;8225;7423;802
5154064;11587;8724;2863
5158;489794;418288;71506
5158004;43856;37500;6356
5158008;30542;26966;3576
5158012;26681;21912;4769
5158016;55815;48124;7691
5158020;59783;52815;6968
5158024;39134;33656;5478
5158026;43050;36079;6971
5158028;87388;74787;12601
5158032;82445;68303;14142
5158036;21100;18146;2954
5162;457264;395171;62093
5162004;65147;55443;9704
5162008;64596;55472;9124
5162012;23940;22036;1904
5162016;44253;39267;4986
5162020;34187;31481;2706
5162022;57422;49270;8152
5162024;154139;129610;24529
5162028;13580;12592;988
5166;300882;265869;35013
5166004;16082;14174;1908
5166008;14880;13613;1267
5166012;34841;31793;3048
5166016;43095;35838;7257
5166020;15170;13639;1531
5166024;19143;17334;1809
5166028;29319;26528;2791
5166032;78208;67571;10637
5166036;50144;45379;4765
5170;465838;413766;52072
5170004;12649;11934;715
5170008;67762;59966;7796
5170012;27248;25444;1804
5170016;13787;12966;821
5170020;38665;32485;6180
5170024;105287;89681;15606
5170028;27956;24982;2974
5170032;31150;28331;2819
5170036;13479;12685;794
5170040;8747;8094;653
5170044;36196;33164;3032
5170048;61330;54067;7263
5170052;21582;19967;1615
53;4527594;3821651;705943
5313;-;-;-
5314;336465;271062;65403
5315;1084831;867430;217401
5316;165748;134200;31548
5334;562559;463166;99393
5334002;252136;195812;56324
5334004;48328;40182;8146
5334008;27620;23270;4350
5334012;56049;47812;8237
5334016;46941;41010;5931
5334020;11864;10778;1086
5334024;8727;8089;638
5334028;15841;14616;1225
5334032;56455;48117;8338
5334036;38598;33480;5118
5358;270833;235268;35565
5358004;14081;12256;1825
5358008;93207;75054;18153
5358012;4365;3913;452
5358016;8929;8259;670
5358020;7507;6947;560
5358024;33158;27856;5302
5358028;17687;16542;1145
5358032;14257;13189;1068
5358036;13015;11621;1394
5358040;10302;9512;790
5358044;10419;9743;676
5358048;14345;13053;1292
5358052;11064;10226;838
5358056;8686;7996;690
5358060;9811;9101;710
5362;478126;410063;68063
5362004;24302;21271;3031
5362008;62376;50632;11744
5362012;44804;38509;6295
5362016;22021;19259;2762
5362020;49882;45643;4239
5362024;52811;44958;7853
5362028;60969;52179;8790
5362032;67239;56938;10301
5362036;55530;50254;5276
5362040;38192;30420;7772
5366;197247;179190;18057
5366004;17282;16262;1020
5366008;8433;7848;585
5366012;4400;4131;269
5366016;59772;51918;7854
5366020;7925;7305;620
5366024;11112;10508;604
5366028;28567;26215;2352
5366032;7991;7591;400
5366036;12977;11490;1487
5366040;17763;16179;1584
5366044;21025;19743;1282
5370;261833;226404;35429
5370004;44215;40302;3913
5370008;13240;10984;2256
5370012;28252;24227;4025
5370016;43476;37042;6434
5370020;41301;34931;6370
5370024;10557;6532;4025
5370028;24215;21145;3070
5370032;9164;7967;1197
5370036;19339;17194;2145
5370040;28074;26080;1994
5374;275404;243889;31515
5374004;18633;15171;3462
5374008;19584;17485;2099
5374012;52001;44018;7983
5374016;14825;13381;1444
5374020;21665;19878;1787
5374024;13710;12259;1451
5374028;10293;9400;893
5374032;17486;16359;1127
5374036;22222;19355;2867
5374040;18610;17293;1317
5374044;19949;17300;2649
5374048;25314;23146;2168
5374052;21112;18844;2268
5378;286213;254701;31512
5378004;112712;98463;14249
5378008;18968;16393;2575
5378012;20128;18549;1579
5378016;28048;25412;2636
5378020;15324;14321;1003
5378024;27405;24514;2891
5378028;28889;25787;3102
5378032;34739;31262;3477
5382;608335;536278;72057
5382004;23904;21284;2620
5382008;26061;22332;3729
5382012;49025;43287;5738
5382016;19132;16116;3016
5382020;48002;43797;4205
5382024;41495;36624;4871
5382028;30846;28282;2564
5382032;24877;21896;2981
5382036;14758;13794;964
5382040;20109;18726;1383
5382044;39281;34540;4741
5382048;27102;24394;2708
5382052;10637;9298;1339
5382056;56369;48902;7467
5382060;42049;35014;7035
5382064;18653;17266;1387
5382068;76251;64470;11781
5382072;20581;18452;2129
5382076;19203;17804;1399
55;2664280;2313284;350996
5512;118113;103078;15035
5513;263000;199866;63134
5515;320946;282571;38375
5554;379070;336322;42748
5554004;40245;36016;4229
5554008;71930;64534;7396
5554012;43489;39657;3832
5554016;17361;16040;1321
5554020;49824;38152;11672
5554024;8830;8006;824
5554028;8317;7835;482
5554032;11208;9569;1639
5554036;7564;6697;867
5554040;11832;10903;929
5554044;15336;14428;908
5554048;19595;18181;1414
5554052;6651;5790;861
5554056;20807;18440;2367
5554060;9616;8634;982
5554064;13304;12392;912
5554068;23161;21048;2113
5558;224692;206246;18446
5558004;15822;14501;1321
5558008;11681;10924;757
5558012;37030;33600;3430
5558016;47468;43271;4197
5558020;12141;11319;822
5558024;25259;23009;2250
5558028;10402;9772;630
5558032;19901;18440;1461
5558036;13253;12497;756
5558040;10840;9909;931
5558044;20895;19004;1891
5562;619732;534745;84987
5562004;73795;64187;9608
5562008;35191;30973;4218
5562012;76720;68710;8010
5562014;75889;62338;13551
5562016;38117;36010;2107
5562020;62473;51831;10642
5562024;84331;71984;12347
5562028;31838;26329;5509
5562032;111734;95359;16375
5562036;29644;27024;2620
5566;456464;403507;52957
5566004;10415;9543;872
5566008;36354;32291;4063
5566012;38207;33416;4791
5566016;20766;18951;1815
5566020;7789;7102;687
