gid2015,income_pp,income_rank
Schalksmühle,34687,1
Meerbusch,34210,2
Herdecke,31 778,3
Haan,31 119,4
Odenthal,31 098,5
Olpe,30644,6
Bad Honnef,30623,7
Möhnesee,30263,8
Drensteinfurt,29919,9
Sundern,29327,10
Sprockhövel,29287,11
Ratingen,29065,12
Meinerzhagen,28644,13
Roetgen,28583,14
Wilnsdorf,28549,15
Neuenrade,28279,16
Porta Westfalica,28279,17
Oerlinghausen,28256,18
Engelskirchen,28211,19
Herscheid,28193,20
Königswinter,27979,21
Korschenbroich,27942,22
Wiehl,27906,23
Kirchhundem,27892,24
Rösrath,27859,25
W achtberg,27805,26
Pulheim,27773,27
Blomberg,27766,28
Bergisch Gladbach,27727,29
Leichlingen (Rhld.),27669,30
Kreuztal,27639,31
Kaarst,27629,32
Rietberg,27455,33
Meckenheim,27384,34
Kempen,27329,35
Erkrath,27230,36
Hünxe,27229,37
Verl,27199,38
Rheda-Wiedenbrück,27026,39
Langenfeld (Rhld.),26999,40
Attendorn,26818,41
Lüdinghausen,26801,42
Altenberge,26742,43
Telgte,26736,44
Düsseldorf,26729,45
Mettmann,26695,46
Werther (Westf.),26571,47
Schöppingen,26551,48
Sonsbeck,26538,49
Billerbeck,26453,50
Erwitte,26428,51
Herzebrock-Clarholz,26425,52
Schermbeck,26401,53
Warendorf,26391,54
Wermelskirchen,26389,55
Tecklenburg,26314,56
Neunkirchen-Seelscheid,26308,57
Breckerfeld,26303,58
Nachrodt-WibIingwerde,26296,59
Hille,26288,60
Freudenberg,26254,61
Everswinkel,26114,62
Willich,26090,63
Haltern am See,26045,64
Wetter (Ruhr),26025,65
Rheurdt,25939,66
Schloß Holte-Stukenbrock,25935,67
Balve,25926,68
Nord kirchen,25925,69
Much,25871,70
Warstein,25805,71
Hamminkeln,25795,72
Lohmar,25791,73
Alfter,25775,74
Erndtebrück,25745,75
Nideggen,25731,76
Monschau,25691,77
Steinhagen,25679,78
Fröndenberg / Ruhr,25675,79
Schwerte,25669,80
Schmallenberg,25616,81
Overath,25603,82
Kürten,25567,83
Halver,25559,84
Hilden,25533,85
Meschede,25529,86
Finnentrop,25527,87
Heiligenhaus,25501,88
Bad Sassendorf,25424,89
Rhede,25412,90
Tönisvorst,25366,91
Winterberg,25364,92
Rahden,25355,93
Arnsberg,25340,94
Drolshagen,25308,95
Bad Berleburg,25272,96
Oelde,25259,97
Raesfeld,25236,98
Ennepetal,25220,99
Wipperfürth,25219,100
Nottuln,25208,101
Vlotho,25161,102
Erftstadt,25161,103
Menden (Sauerland),25156,104
Unna,25129,105
Bad Oeynhausen,25127,106
Südlohn,25118,107
Hürtgenwald,25113,108
Xanten,25104,109
Borgentreich,25093,110
Sendenhorst,25083,111
Alpen,25074,112
Enger,25043,113
Frechen,25023,114
Rommerskirchen,24984,115
Vreden,24980,116
Havixbeck,24964,117
Neunkirchen,24947,118
Plettenberg,24933,119
Wülfrath,24912,120
Bomheim,24905,121
Radevormwald,24901,122
Schwelm,24888,123
Burscheid,24831,124
Anröchte,24811,125
Eslohe (Sauerland),24806,126
Ense,24794,127
Hilchenbach,24777,128
Brühl,24766,129
Coesfeld,24757,130
Kerken,24738,131
Bad Münstereifel,24736,132
Lienen,24727,133
Gütersloh,24712,134
