kid2019,ejahr,immigrated,migrated,migration_balance
01,2021,148278,125264,23014
01001,2021,8712,7251,1461
01002,2021,14398,14358,40
01003,2021,11220,9698,1522
01004,2021,4687,4783,-96
01051,2021,5619,4104,1515
01053,2021,10051,7740,2311
01054,2021,7427,6214,1213
01055,2021,9467,7433,2034
01056,2021,15629,13261,2368
01057,2021,5610,4517,1093
01058,2021,13520,11202,2318
01059,2021,9479,7561,1918
01060,2021,15110,12055,3055
01061,2021,5536,4711,825
01062,2021,11813,10376,1437
02000,2021,87108,87178,-70
03,2021,399216,350092,49124
031,2021,85591,78120,7471
03101,2021,15913,15010,903
03102,2021,4939,4853,86
03103,2021,5949,5596,353
03151,2021,6955,5944,1011
03152,2021,-,-,#VALUE!
03153,2021,6635,5941,694
03154,2021,4088,3663,425
03155,2021,5087,4163,924
03156,2021,-,-,#VALUE!
03157,2021,6312,4956,1356
03158,2021,4945,4564,381
03159,2021,24768,23430,1338
032,2021,85140,75159,9981
03241,2021,42768,38280,4488
03241001,2021,25976,21463,4513
03251,2021,10650,9187,1463
03252,2021,6353,5104,1249
03254,2021,9960,9183,777
03255,2021,3056,2729,327
03256,2021,5586,4734,852
03257,2021,6767,5942,825
033,2021,84520,68977,15543
03351,2021,8210,6964,1246
03352,2021,8258,6322,1936
03353,2021,13297,11116,2181
03354,2021,2186,1692,494
03355,2021,9261,7944,1317
03356,2021,4529,3724,805
03357,2021,6895,5844,1051
03358,2021,12805,10187,2618
03359,2021,8939,7319,1620
03360,2021,4046,3048,998
03361,2021,6094,4817,1277
034,2021,143965,127836,16129
03401,2021,3989,3951,38
03402,2021,2497,2541,-44
03403,2021,12748,11941,807
03404,2021,13236,12501,735
03405,2021,4151,3797,354
03451,2021,6662,5531,1131
03452,2021,7418,6256,1162
03453,2021,13928,12898,1030
03454,2021,18047,15171,2876
03455,2021,4274,3756,518
03456,2021,4841,4015,826
03457,2021,7450,6026,1424
03458,2021,8723,7692,1031
03459,2021,21501,18893,2608
03460,2021,7721,6949,772
03461,2021,3894,3442,452
03462,2021,2885,2476,409
04,2021,33625,35684,-2059
04011,2021,26591,28841,-2250
04012,2021,7034,6843,191
05,2021,809481,763617,45864
051,2021,246429,233370,13059
05111,2021,38230,39276,-1046
05112,2021,22401,21849,552
05113,2021,29721,30861,-1140
05114,2021,11104,9977,1127
05116,2021,16894,14770,2124
05117,2021,7196,6624,572
05119,2021,8337,8073,264
05120,2021,5371,4752,619
05122,2021,6110,5849,261
05124,2021,16441,16031,410
05154,2021,16908,14849,2059
05158,2021,20109,17897,2212
05162,2021,20279,18851,1428
05166,2021,11397,10154,1243
05170,2021,15931,13557,2374
053,2021,211199,204972,6227
05314,2021,24594,23210,1384
05315,2021,52006,61456,-9450
05316,2021,7090,6844,246
05334,2021,24602,23291,1311
05334002,2021,16493,14795,1698
05354,2021,-,-,#VALUE!
05358,2021,12463,10140,2323
05362,2021,22240,19300,2940
05366,2021,8960,7849,1111
05370,2021,11350,8676,2674
05374,2021,9357,8394,963
05378,2021,12353,11178,1175
05382,2021,26184,24634,1550
055,2021,112636,101143,11493
05512,2021,4267,3744,523
05513,2021,13235,11552,1683
05515,2021,19732,18853,879
05554,2021,12173,10465,1708
05558,2021,8810,7877,933
05562,2021,23598,21402,2196
05566,2021,18901,16586,2315
05570,2021,11920,10664,1256
057,2021,93926,86268,7658
05711,2021,20085,19266,819
05754,2021,18865,17178,1687
05758,2021,10896,9935,961
05762,2021,6332,5522,810
05766,2021,12354,11824,530
05770,2021,12363,10527,1836
05774,2021,13031,12016,1015
059,2021,145291,137864,7427
05911,2021,17442,16957,485
05913,2021,27380,27103,277
05914,2021,8285,7693,592
05915,2021,8985,8048,937
05916,2021,7300,6767,533
05954,2021,11475,10912,563
05958,2021,8537,7961,576
05962,2021,11661,11636,25
05966,2021,4349,4247,102
05970,2021,9738,9922,-184
05974,2021,13320,11197,2123
05978,2021,16819,15421,1398
06,2021,346357,332791,13566
064,2021,228517,225949,2568
06411,2021,14030,13541,489
06412,2021,53046,60453,-7407
06413,2021,11654,11609,45
06414,2021,16457,16240,217
06431,2021,12225,11139,1086
06432,2021,14341,14573,-232
06433,2021,14637,14248,389
06434,2021,12494,11923,571
06435,2021,18588,15945,2643
06436,2021,12793,12601,192
06437,2021,4351,3683,668
06438,2021,17659,16329,1330
06439,2021,9045,8608,437
06440,2021,17197,15057,2140
065,2021,61077,55600,5477
06531,2021,25666,24070,1596
06532,2021,8437,7483,954
06533,2021,8277,7056,1221
06534,2021,13966,13115,851
06535,2021,4731,3876,855
066,2021,56763,51242,5521
06611,2021,13988,14496,-508
06631,2021,8348,7236,1112
06632,2021,5358,4865,493
06633,2021,10432,8864,1568
06634,2021,7435,6124,1311
06635,2021,6652,5731,921
06636,2021,4550,3926,624
07,2021,227476,206752,20724
071,2021,71829,63407,8422
07111,2021,8459,7922,537
07131,2021,5364,7001,-1637
07132,2021,5668,4921,747
07133,2021,7070,5782,1288
07134,2021,3733,3148,585
07135,2021,2950,2418,532
07137,2021,9990,8626,1364
07138,2021,8942,7226,1716
07140,2021,4693,3855,838
07141,2021,6079,5269,810
07143,2021,8881,7239,1642
072,2021,36095,31948,4147
07211,2021,12065,11995,70
07231,2021,5859,4887,972
07232,2021,5745,4498,1247
07233,2021,3156,2357,799
